dataset,model,graph_mode,seed,n_folds,n_parameters,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,macro_precision_mean,macro_recall_mean,weighted_accuracy
DSA,a3tgcn,adaptive_correlation_mean,1024,8,423990,0.7595394736842105,0.082478810689987,0.7284870595338383,0.0935290046592328,0.7284870595338384,0.7590223441481481,0.7595394736842105,0.7595394736842105
DSA,a3tgcn,adaptive_correlation_mean,123,8,423990,0.6900219298245613,0.1107931003802783,0.6598092570987821,0.1184435452214612,0.6598092570987821,0.7216909795577471,0.6900219298245613,0.5767543859649122
DSA,a3tgcn,adaptive_correlation_mean,42,8,423990,0.7483552631578947,0.0534034005275316,0.7097876832542653,0.0597349511095055,0.7097876832542652,0.736176597306297,0.7483552631578947,0.7483552631578947
DSA,a3tgcn,adaptive_correlation_mean,456,8,423990,0.7525219298245615,0.1464613095170245,0.730014077088302,0.1506394094895833,0.7300140770883021,0.744718439394161,0.7525219298245613,0.7525219298245615
DSA,a3tgcn,adaptive_correlation_mean,789,8,423990,0.7008771929824561,0.1723008885161102,0.6726436849558362,0.1825733499018615,0.6726436849558362,0.7019104263409983,0.7008771929824561,0.5
DSA,a3tgcn,adaptive_dtw,1024,8,423990,0.7021929824561404,0.0891279439740716,0.6690503561623458,0.0864302867931373,0.6690503561623456,0.6926251374619392,0.7021929824561404,0.7021929824561404
DSA,a3tgcn,adaptive_dtw,123,8,423990,0.7098684210526316,0.1511814493917722,0.6771044456398898,0.1652848170781612,0.6771044456398898,0.7324756376945003,0.7098684210526316,0.7098684210526316
DSA,a3tgcn,adaptive_dtw,42,8,423990,0.7393640350877193,0.1363551541047816,0.7057574612473203,0.1440442217022842,0.7057574612473202,0.7482753538839109,0.7393640350877193,0.7393640350877193
DSA,a3tgcn,adaptive_dtw,456,8,423990,0.7153508771929824,0.128290785718287,0.6850060926837751,0.1441287795126949,0.685006092683775,0.7218536504639277,0.7153508771929824,0.7153508771929824
DSA,a3tgcn,adaptive_dtw,789,8,423990,0.7240131578947369,0.1563840606789623,0.693406872222826,0.1650017311765494,0.693406872222826,0.7307830841089017,0.7240131578947369,0.7240131578947369
DSA,a3tgcn,adaptive_knn,1024,8,423990,0.7336622807017544,0.140363854594656,0.7038152114884428,0.1527181873023597,0.703815211488443,0.7490543907049352,0.7336622807017544,0.7336622807017544
DSA,a3tgcn,adaptive_knn,123,8,423990,0.7266447368421052,0.1383630734170461,0.6952783695079526,0.1502987145773075,0.6952783695079527,0.7170078895223408,0.7266447368421052,0.7266447368421053
DSA,a3tgcn,adaptive_knn,42,8,423990,0.7520833333333333,0.125401737852461,0.7213502866493785,0.1367635924690116,0.7213502866493784,0.7435711259376008,0.7520833333333333,0.7520833333333333
DSA,a3tgcn,adaptive_knn,456,8,423990,0.7302631578947368,0.1284346531960203,0.6931799451681215,0.1408715999115689,0.6931799451681215,0.738669042911259,0.7302631578947368,0.7302631578947368
DSA,a3tgcn,adaptive_knn,789,8,423990,0.6958333333333333,0.1158199969736845,0.6556718760502458,0.1298775311164066,0.6556718760502458,0.7071554119016509,0.6958333333333333,0.6958333333333333
DSA,a3tgcn,adaptive_nosvd_correlation_mean,1024,8,424575,0.6483552631578947,0.1341484760097107,0.6122304445235855,0.1457903711516343,0.6122304445235855,0.6501356790755701,0.6483552631578947,0.6483552631578947
DSA,a3tgcn,adaptive_nosvd_correlation_mean,123,8,424575,0.637280701754386,0.0850119485382799,0.6012121713911771,0.0832709388469498,0.6012121713911771,0.638650427837876,0.637280701754386,0.6471929824561403
DSA,a3tgcn,adaptive_nosvd_correlation_mean,42,8,424575,0.6986842105263158,0.0459669210756978,0.6657433745133728,0.0570034002551467,0.6657433745133727,0.6925374884235207,0.6986842105263158,0.6994152046783626
DSA,a3tgcn,adaptive_nosvd_correlation_mean,456,8,424575,0.6638157894736842,0.1275635482161233,0.6285171207779818,0.1400896428714319,0.6285171207779818,0.6484071569924562,0.6638157894736841,0.6638157894736842
DSA,a3tgcn,adaptive_nosvd_correlation_mean,789,8,424575,0.6543859649122806,0.1139481787581088,0.6155765445013348,0.1218156440321492,0.6155765445013348,0.6370739403183749,0.6543859649122807,0.6543859649122807
DSA,a3tgcn,adaptive_random_predef_seed1024,42,8,423734,0.8593201754385965,0.0690102519750121,0.8409248396025628,0.0821156092757867,0.8409248396025628,0.8672208998046496,0.8593201754385965,0.8593201754385965
DSA,a3tgcn,adaptive_random_predef_seed123,42,8,423734,0.8695175438596492,0.0426065508440078,0.8515088180386268,0.0477567948338804,0.8515088180386268,0.8643492387895855,0.8695175438596491,0.8695175438596491
DSA,a3tgcn,adaptive_random_predef_seed42,42,8,423734,0.8489035087719299,0.0699444526341698,0.8335898086898297,0.0793141496800719,0.8335898086898297,0.8626594962950465,0.8489035087719299,0.8489035087719298
DSA,a3tgcn,adaptive_random_predef_seed456,42,8,423734,0.856907894736842,0.0593604947777437,0.8389324737600525,0.0700996009556168,0.8389324737600525,0.8689430767884692,0.856907894736842,0.8569078947368421
