model,graph_mode,n,accuracy_pct,std_pct,f1,params
a3tgcn,adaptive,5,86.66,1.28,0.8471617239815874,423734.0
a3tgcn,adaptive_correlation_mean,5,73.03,3.23,0.7001483523862048,423990.0
a3tgcn,adaptive_dtw,5,71.82,1.43,0.6860650455912314,423990.0
a3tgcn,adaptive_knn,5,72.77,2.03,0.6938591377728283,423990.0
a3tgcn,adaptive_nosvd_correlation_mean,5,66.05,2.34,0.6246559311414904,424575.0
a3tgcn,adaptive_random_predef_seed1024,1,85.93,,0.8409248396025628,423734.0
a3tgcn,adaptive_random_predef_seed123,1,86.95,,0.8515088180386268,423734.0
a3tgcn,adaptive_random_predef_seed42,1,84.89,,0.8335898086898297,423734.0
a3tgcn,adaptive_random_predef_seed456,1,85.69,,0.8389324737600525,423734.0
a3tgcn,adaptive_random_predef_seed789,1,85.9,,0.8410934180797813,423734.0
a3tgcn,predefined_coarse,5,83.69,1.87,0.814940782237087,423574.0
a3tgcn,predefined_correlation_mean,5,76.14,0.99,0.7290558780963227,422550.0
a3tgcn,predefined_dtw,5,74.61,2.13,0.7193838625450233,422550.0
a3tgcn,predefined_fine,5,66.11,3.22,0.6200611031952941,422550.0
a3tgcn,predefined_knn_correlation,5,76.47,1.14,0.7337194865024347,422550.0
a3tgcn,random_predef_seed1024,1,86.26,,0.8418435165524264,423574.0
a3tgcn,random_predef_seed123,1,83.63,,0.8148535369369034,423574.0
a3tgcn,random_predef_seed42,1,82.87,,0.808507602034666,423574.0
a3tgcn,random_predef_seed456,1,83.25,,0.8101017388378778,423574.0
a3tgcn,random_predef_seed789,1,84.59,,0.8249730023959821,423574.0
cnn_bigru,none,5,82.94,0.9,0.7962886116357948,2226195.0
dcrnn,adaptive,5,83.82,2.69,0.8186335390961549,1209908.0
dcrnn,predefined_coarse,5,84.58,1.6,0.8233131587429788,1209748.0
dcrnn,predefined_correlation_mean,5,81.38,2.0,0.787155285098722,1208724.0
dcrnn,predefined_fine,5,71.84,3.6,0.6848026948306636,1208724.0
gconv_gru,adaptive,5,82.66,1.22,0.800158641511097,620084.0
gconv_gru,predefined_coarse,5,83.15,1.92,0.8044060009018287,619924.0
gconv_gru,predefined_correlation_mean,5,79.66,0.3,0.7720323751147863,618900.0
gconv_gru,predefined_fine,5,67.69,0.93,0.6375714006773483,618900.0
gconv_lstm,adaptive,5,81.83,1.16,0.7911345222504168,816948.0
gconv_lstm,adaptive_random_predef_seed1024,1,82.6,,0.7952936469466514,816948.0
gconv_lstm,adaptive_random_predef_seed123,1,80.01,,0.770918578810645,816948.0
gconv_lstm,adaptive_random_predef_seed42,1,82.51,,0.7994415758677123,816948.0
gconv_lstm,adaptive_random_predef_seed456,1,82.48,,0.7971925760368386,816948.0
gconv_lstm,adaptive_random_predef_seed789,1,80.99,,0.7817232471358719,816948.0
gconv_lstm,predefined_coarse,5,81.36,1.15,0.7819532269301458,816788.0
gconv_lstm,predefined_correlation_mean,5,81.43,2.39,0.7872474231789404,815764.0
gconv_lstm,predefined_fine,5,69.73,2.44,0.661445800245224,815764.0
gconv_lstm,random_predef_seed1024,1,80.79,,0.7822208208493201,816788.0
gconv_lstm,random_predef_seed123,1,81.86,,0.7896823047169398,816788.0
gconv_lstm,random_predef_seed42,1,81.36,,0.7896323932478096,816788.0
gconv_lstm,random_predef_seed456,1,80.9,,0.7848620718390205,816788.0
gconv_lstm,random_predef_seed789,1,81.85,,0.7924274125070534,816788.0
hybrid_tgnn,adaptive,5,86.71,1.92,0.8449082636859438,620245.0
hybrid_tgnn,predefined_coarse,5,83.24,1.72,0.8051354313547318,620245.0
hybrid_tgnn,predefined_correlation_mean,5,79.89,1.23,0.7695614996179592,621781.0
hybrid_tgnn,predefined_fine,5,68.32,2.64,0.6447932852909,621781.0
lstm,none,5,79.07,0.9,0.7513882591544654,2334739.0
tcn,none,5,78.93,1.19,0.7529009032984989,831379.0
